Run,Baseline_IDI,GA_IDI,Baseline_Time,GA_Time,Baseline_AvgDiff,GA_AvgDiff
1,0.0,0.0,157.89247155189514,89.8733422756195,0.0033860689,0.008177542
2,0.0,0.0,158.42070531845093,104.30365252494812,0.003368534,0.006901212
3,0.0,0.0,142.781662940979,104.65595650672913,0.0034786148,0.0076536615
4,0.0,0.0,143.1819314956665,98.57023525238037,0.0033719682,0.00825019
5,0.0,0.0,132.43936920166016,100.68523216247559,0.003471516,0.0071835383
6,0.0,0.0,133.59170937538147,94.88065123558044,0.0034540168,0.007810809
7,0.0,0.0,150.42032957077026,89.91388440132141,0.0035311847,0.0076472387
8,0.0,0.0,160.07039403915405,105.26191282272339,0.0034045817,0.0082638515
9,0.0,0.0,146.564843416214,102.22651362419128,0.0034196195,0.0073536006
10,0.0,0.0,146.21366477012634,105.22041869163513,0.0034313975,0.010091088
11,0.0,0.0,133.55554962158203,104.44448781013489,0.0033730047,0.006772135
12,0.0,0.0,119.54294204711914,87.44309115409851,0.003360275,0.006482091
13,0.0,0.0,121.53297710418701,88.20516681671143,0.0032968794,0.0083520515
14,0.0,0.0,123.57168436050415,84.81088376045227,0.0034147096,0.0074148625
15,0.0,0.0,139.59181237220764,88.39420771598816,0.0034331526,0.008055597
16,0.0,0.0,144.44018650054932,86.99186611175537,0.0034786873,0.008100083
17,0.0,0.0,145.49363446235657,89.04875159263611,0.0034042029,0.0076312455
18,0.0,0.0,147.67165660858154,88.57656598091125,0.0033067884,0.0067129345
19,0.0,0.0,139.99668335914612,90.56754517555237,0.003410879,0.008330831
20,0.0,0.0,136.3253514766693,90.81787776947021,0.0034604631,0.0066470304
21,0.0,0.0,136.65791821479797,89.5855221748352,0.0033314063,0.0072672293
22,0.0,0.0,136.8555977344513,88.09443211555481,0.003402491,0.0074083456
23,0.0,0.0,93.70516395568848,43.26416778564453,0.0034600578,0.008753216
24,0.0,0.0,93.63590908050537,41.97243785858154,0.0034222053,0.0066435044
25,0.0,0.0,89.75448417663574,41.93233776092529,0.0034489213,0.006586448
26,0.0,0.0,96.25029587745667,37.63418173789978,0.0034416737,0.0069483547
27,0.0,0.0,92.24741315841675,37.166698932647705,0.0033459382,0.007760129
28,0.0,0.0,77.92344546318054,34.0993287563324,0.0033833417,0.0077125533
29,0.0,0.0,88.97930717468262,33.0503363609314,0.00342946,0.0065992004
30,0.0,0.0,87.9400360584259,33.00892949104309,0.0033976394,0.0060604694
