Run,Baseline_IDI,GA_IDI,Baseline_Time,GA_Time,Baseline_AvgDiff,GA_AvgDiff
1,0.261,0.341,124.5481345653534,68.0840368270874,0.04998628,0.07291687
2,0.203,0.433,122.45567345619202,62.02548885345459,0.044478543,0.098438874
3,0.226,0.427,121.05355834960938,70.62297487258911,0.050834145,0.110569715
4,0.327,0.41,116.21479940414429,70.27577447891235,0.07045267,0.10302322
5,0.302,0.43,107.5308084487915,75.03261423110962,0.062037885,0.091401644
6,0.222,0.49,101.11003732681274,64.32316303253174,0.048451304,0.15118907
7,0.253,0.496,123.4260847568512,78.47033476829529,0.05313402,0.113093264
8,0.232,0.416,122.73181462287903,71.11750841140747,0.047655005,0.1318473
9,0.329,0.426,117.26557111740112,70.23166131973267,0.068089776,0.110142656
10,0.218,0.465,117.31127953529358,78.02708506584167,0.0474685,0.09264737
11,0.252,0.208,107.47994637489319,67.8524181842804,0.052808244,0.046853807
12,0.291,0.433,100.9260766506195,78.94235825538635,0.058607537,0.07500457
13,0.351,0.372,103.85549569129944,77.5228283405304,0.072619215,0.07459755
14,0.214,0.437,106.11309695243835,76.54855918884277,0.044867806,0.09780629
15,0.264,0.373,118.47107148170471,62.83450484275818,0.055031404,0.0849808
16,0.177,0.385,123.70207071304321,65.79544472694397,0.03930935,0.0795916
17,0.179,0.432,117.53697443008423,72.95559287071228,0.036707528,0.0882376
18,0.304,0.47,114.61633086204529,80.1370780467987,0.06312159,0.08892563
19,0.253,0.325,124.69062876701355,75.4443187713623,0.054410115,0.06263964
20,0.245,0.49,124.28255009651184,79.03406119346619,0.049789578,0.10205031
21,0.209,0.348,126.7798810005188,82.56188797950745,0.04504278,0.06381015
22,0.215,0.325,125.80662131309509,79.66041898727417,0.04509561,0.057257637
23,0.257,0.402,92.3999707698822,62.53286099433899,0.055017956,0.079348385
24,0.317,0.361,86.51721334457397,63.62434506416321,0.064057425,0.09307713
25,0.342,0.384,90.75247192382812,64.19287610054016,0.06552933,0.09026619
26,0.237,0.359,87.62636184692383,65.87282729148865,0.04851647,0.07688655
27,0.265,0.42,89.362948179245,56.86382031440735,0.05124964,0.11927495
28,0.268,0.409,88.06523203849792,64.94360661506653,0.05650184,0.08798172
29,0.223,0.414,84.08686256408691,63.20376777648926,0.047723625,0.10102388
30,0.282,0.395,68.09743094444275,56.24795150756836,0.058762398,0.08052954
