Run,Baseline_IDI,GA_IDI,Baseline_Time,GA_Time,Baseline_AvgDiff,GA_AvgDiff
1,0.666,0.774,200.59391832351685,89.07463574409485,0.15816423,0.49284834
2,0.674,0.806,202.0463101863861,96.33712911605835,0.16123785,0.484496
3,0.666,0.78,180.15402245521545,96.37561655044556,0.15811935,0.5067841
4,0.666,0.791,185.03058695793152,89.3362193107605,0.15388568,0.5476935
5,0.672,0.725,161.90879487991333,86.10822010040283,0.15902539,0.56195414
6,0.685,0.797,157.68191409111023,88.73966264724731,0.15612161,0.5008161
7,0.67,0.786,204.30323672294617,88.86868381500244,0.16226175,0.51931465
8,0.644,0.783,199.103520154953,100.56680274009705,0.15403906,0.5661526
9,0.685,0.776,178.42626023292542,95.49775695800781,0.15452276,0.54239404
10,0.687,0.814,181.23906230926514,94.77617716789246,0.16330701,0.5047291
11,0.676,0.765,160.62811088562012,89.29830026626587,0.15683624,0.520126
12,0.659,0.797,157.95887565612793,61.27364158630371,0.14070421,0.5127063
13,0.694,0.705,154.71676969528198,59.38794422149658,0.16521445,0.5314463
14,0.651,0.805,159.14847826957703,60.32168531417847,0.15524858,0.53151596
15,0.648,0.771,190.64016842842102,61.60342001914978,0.15118796,0.4889702
16,0.655,0.783,192.183420419693,60.55905866622925,0.16251676,0.48940945
17,0.696,0.782,190.71061491966248,62.828672885894775,0.16200045,0.49332368
18,0.673,0.782,187.82111167907715,60.046751976013184,0.15503095,0.5069654
19,0.707,0.732,168.28190398216248,58.85274815559387,0.16003028,0.5122669
20,0.659,0.777,168.88209462165833,58.989813804626465,0.15521994,0.5510124
21,0.643,0.751,173.70481538772583,60.52104330062866,0.14443484,0.57874215
22,0.672,0.775,168.33478593826294,57.89908480644226,0.15892662,0.501241
23,0.666,0.761,124.81399989128113,40.00486612319946,0.15661798,0.5382033
24,0.701,0.787,129.51944756507874,39.877530574798584,0.15597491,0.5378012
25,0.659,0.756,127.01076221466064,39.25716185569763,0.16198362,0.48747838
26,0.695,0.769,114.26359009742737,39.44944882392883,0.15940359,0.5589703
27,0.686,0.739,109.09548377990723,37.940844774246216,0.15972926,0.45051587
28,0.688,0.785,114.45242929458618,36.86962127685547,0.16334163,0.50275034
29,0.667,0.71,109.32527017593384,34.880210876464844,0.16025205,0.57926345
30,0.665,0.814,105.79610705375671,34.85116744041443,0.1595959,0.4979861
