Run,Baseline_IDI,GA_IDI,Baseline_Time,GA_Time,Baseline_AvgDiff,GA_AvgDiff
1,0.017,0.197,137.32512259483337,82.4309413433075,0.010871651,0.20834726
2,0.024,0.402,137.2277717590332,89.41009283065796,0.019993331,0.43265358
3,0.02,0.302,126.05930614471436,78.77326083183289,0.0124946395,0.3988652
4,0.015,0.228,128.92696595191956,76.67916297912598,0.011315596,0.2278847
5,0.023,0.252,107.88824939727783,94.29406762123108,0.019325474,0.2580436
6,0.009,0.169,104.87557792663574,80.69258141517639,0.0035048467,0.15038265
7,0.038,0.185,148.43381762504578,74.47846865653992,0.029695721,0.19896023
8,0.02,0.24,135.20868277549744,67.43605065345764,0.01518449,0.22143781
9,0.029,0.298,123.00125217437744,88.63978791236877,0.02235551,0.3156131
10,0.017,0.354,122.07958221435547,94.18805694580078,0.01290779,0.43109906
11,0.017,0.291,108.36646580696106,90.77377128601074,0.013416123,0.298737
12,0.018,0.24,102.90056443214417,90.2652440071106,0.015979249,0.23819493
13,0.021,0.322,104.08772587776184,86.18333005905151,0.013688099,0.3349703
14,0.023,0.239,105.56415057182312,79.53106260299683,0.01525305,0.3105978
15,0.022,0.197,120.21572589874268,77.76041078567505,0.017221494,0.274157
16,0.022,0.111,122.85844159126282,80.19246935844421,0.014186617,0.10150084
17,0.014,0.3,119.04684042930603,74.9937093257904,0.010224983,0.37846237
18,0.013,0.099,120.07329988479614,93.07929491996765,0.011755381,0.09308033
19,0.019,0.23,125.21427392959595,89.90553092956543,0.01610029,0.25114247
20,0.012,0.081,127.11815667152405,76.14762854576111,0.0077437605,0.07165506
21,0.019,0.283,128.77907919883728,78.96213364601135,0.01370459,0.35412556
22,0.014,0.269,121.96605610847473,79.26190328598022,0.011230558,0.3128204
23,0.028,0.234,93.06495308876038,73.08170247077942,0.019982822,0.22200057
24,0.018,0.109,92.33877754211426,73.27487134933472,0.01410561,0.10784842
25,0.017,0.138,90.71991801261902,63.65199327468872,0.012191629,0.12694578
26,0.023,0.161,89.14947390556335,62.644413232803345,0.015405495,0.15186249
27,0.017,0.239,84.98367691040039,64.22378373146057,0.012373576,0.2319957
28,0.02,0.402,85.55981731414795,65.72029566764832,0.010285126,0.459131
29,0.022,0.35,81.5764172077179,64.26133322715759,0.0141670685,0.395401
30,0.013,0.227,61.201743841171265,60.127408266067505,0.010494684,0.21429543
