Run,Baseline_IDI,GA_IDI,Baseline_Time,GA_Time,Baseline_AvgDiff,GA_AvgDiff
1,0.069,0.452,288.84991478919983,36.54772663116455,0.008725958,0.077583425
2,0.075,0.462,286.7730493545532,37.5816285610199,0.009178638,0.07298863
3,0.074,0.48,280.45526695251465,36.70760369300842,0.00906498,0.09205712
4,0.073,0.43,268.98955941200256,37.51606249809265,0.0099222325,0.07407075
5,0.08,0.473,233.34401416778564,37.9638934135437,0.009640591,0.09093521
6,0.071,0.46,228.52190804481506,38.084914684295654,0.008195946,0.0798026
7,0.067,0.584,291.52620005607605,37.21236038208008,0.009459254,0.09929851
8,0.063,0.569,292.9594302177429,37.264219999313354,0.008231138,0.10158084
9,0.072,0.443,283.20671916007996,37.47648859024048,0.009161024,0.08579914
10,0.069,0.647,270.52301001548767,41.70071601867676,0.009660916,0.10429471
11,0.068,0.504,239.2754521369934,36.90561079978943,0.008300414,0.10068144
12,0.07,0.458,237.30750250816345,50.94662117958069,0.008982859,0.072119296
13,0.068,0.649,236.96551656723022,48.3204300403595,0.009412915,0.12834616
14,0.057,0.516,232.00159120559692,51.82852816581726,0.0086931465,0.09596512
15,0.056,0.44,283.1307759284973,49.40709066390991,0.0075983256,0.09983842
16,0.054,0.477,284.4065132141113,48.296318769454956,0.007669214,0.08027947
17,0.072,0.607,278.2563679218292,48.876593589782715,0.008816885,0.12741211
18,0.066,0.554,277.8021321296692,50.769917726516724,0.008762212,0.09115219
19,0.063,0.452,282.954302072525,50.70084547996521,0.007987656,0.086883
20,0.07,0.593,282.0141577720642,49.72178626060486,0.008704787,0.10291157
21,0.07,0.597,284.10043239593506,52.92583465576172,0.009025574,0.1083305
22,0.071,0.576,286.29164028167725,48.71186685562134,0.0098688565,0.0986531
23,0.076,0.559,179.08095741271973,30.616071939468384,0.009582625,0.0995478
24,0.056,0.504,176.61627793312073,29.915609121322632,0.007404225,0.102558665
25,0.06,0.465,177.3930401802063,29.36494779586792,0.008238762,0.08978631
26,0.066,0.663,117.4652190208435,29.569173574447632,0.00930247,0.12482076
27,0.073,0.54,115.17281293869019,29.12520742416382,0.009420864,0.091738835
28,0.08,0.425,111.91176748275757,28.741284132003784,0.010221949,0.06534486
29,0.083,0.516,109.90093660354614,28.113529682159424,0.010114566,0.09602298
30,0.079,0.569,101.68598222732544,28.39552068710327,0.009374216,0.12119604
