Run,Baseline_IDI,GA_IDI,Baseline_Time,GA_Time,Baseline_AvgDiff,GA_AvgDiff
1,0.001,0.0,140.67225646972656,93.31821846961975,0.013352808,0.023257602
2,0.001,0.0,139.3663296699524,97.35450744628906,0.013543528,0.024991035
3,0.002,0.0,126.52637004852295,104.41568684577942,0.013585922,0.023861507
4,0.0,0.0,129.10517239570618,98.28745436668396,0.01311165,0.023250518
5,0.0,0.027,113.95437788963318,103.30610489845276,0.013252235,0.024397148
6,0.0,0.337,117.54831194877625,84.22194051742554,0.013294783,0.045405313
7,0.0,0.0,137.00723338127136,92.31485223770142,0.013115164,0.020221023
8,0.0,0.006,144.74006700515747,99.8019642829895,0.013172777,0.02431895
9,0.0,0.0,129.120379447937,102.17321300506592,0.013734361,0.023991818
10,0.001,0.027,121.19334387779236,103.91567206382751,0.013375175,0.024521807
11,0.0,0.001,112.19250893592834,104.46976113319397,0.012940113,0.023313992
12,0.001,0.0,105.06938600540161,80.54053831100464,0.013049574,0.024577474
13,0.001,0.0,105.86613392829895,84.39267992973328,0.013396455,0.023177871
14,0.0,0.287,105.18628931045532,87.05069994926453,0.013494763,0.042516366
15,0.0,0.0,128.2411506175995,96.8641562461853,0.013147659,0.022479756
16,0.0,0.145,124.34030485153198,93.11911177635193,0.0134949535,0.03073964
17,0.0,0.191,125.71438670158386,93.907151222229,0.013021284,0.033894546
18,0.001,0.0,122.90905714035034,96.7918930053711,0.0132584665,0.020990077
19,0.0,0.0,130.74581336975098,97.17734932899475,0.013268112,0.023590658
20,0.0,0.0,129.72733187675476,95.54350209236145,0.013446246,0.024944423
21,0.0,0.0,130.09694981575012,95.79224967956543,0.013038586,0.024356721
22,0.001,0.0,128.50319409370422,96.73001098632812,0.013228033,0.022624787
23,0.0,0.0,89.9195408821106,70.78429460525513,0.0133654345,0.022913499
24,0.001,0.007,90.67139863967896,63.525219202041626,0.013408379,0.025482884
25,0.0,0.001,87.66324996948242,61.309980154037476,0.012748678,0.021309627
26,0.0,0.0,86.56544947624207,52.498061180114746,0.013247564,0.021922067
27,0.0,0.173,84.56220722198486,53.319902181625366,0.012997052,0.034293033
28,0.001,0.0,84.03802013397217,53.72674202919006,0.013295301,0.024289103
29,0.0,0.0,79.8381757736206,48.693360328674316,0.012858591,0.025804786
30,0.0,0.0,56.18179249763489,47.71868014335632,0.013667713,0.019929105
